t,evo
0,0.9902248289345064
15,0.9497131231177904
30,0.8782921480671024
45,0.8154060029681585
60,0.7636538595406552
75,0.7172688197712795
90,0.6736133915714299
105,0.6320126343774104
120,0.5926512625494463
135,0.5556366276243201
150,0.5207034646426294
165,0.4878923073612956
180,0.45703336487380464
195,0.42799938835889495
210,0.4007821189578341
225,0.3751485735562383
240,0.3511080165400475
255,0.3285822826723876
270,0.30740710486276923
285,0.2875919136826198
300,0.26898986915336565
315,0.25156438171141676
330,0.23528114815008164
345,0.21998780065557233
360,0.2056966426306472
375,0.19232717407285363
390,0.17980612412228583
405,0.16812529592976957
420,0.1571730790793403
435,0.14694805798579186
450,0.1374106221569894
465,0.12847523088908722
480,0.12014880904352704
495,0.11236249852090852
510,0.10509273276683981
525,0.0983251843348439
540,0.09198529678700403
555,0.086081922357291
570,0.08057808049182653
585,0.07543345362173423
600,0.07065007319846804
615,0.06617511110988256
630,0.0620077707762679
645,0.0581324004362427
660,0.05450493322051454
675,0.05113477461166732
690,0.047990266829774975
705,0.04505747582413389
720,0.042335089560531766
735,0.039786171248364255
750,0.037418059826628394
765,0.03521543654847511
780,0.03315589256710286
795,0.03124637289498579
810,0.029461518842161333
825,0.02780070548015995
840,0.026260324006704222
855,0.024816986302875363
870,0.02347929822972796
885,0.022233107497992823
900,0.02106966967234197
915,0.019992953784823134
930,0.01898406405797791
945,0.018047836727419317
960,0.0171791512783474
975,0.016364960743905477
990,0.015612400604754979
1005,0.014909184915406404
1020,0.014254200782418455
1035,0.01364877934967215
1050,0.013079998666012178
1065,0.012553976873585004
1080,0.01206486030683243
1095,0.01160673659132203
1110,0.01118449483323952
1125,0.010788231386541548
1140,0.010420439442259843
1155,0.010080446814762889
1170,0.009760327955089666
1185,0.00946553705906323
1200,0.009190246190768083
1215,0.008932965286958916
1230,0.008696419421030476
1245,0.008473276373367042
1260,0.00826721792937753
1275,0.008076286753946794
1290,0.007896343580208605
1305,0.007731466341223626
1320,0.0075764657773890074
1335,0.007432242005630358
1350,0.0072997809832734155
1365,0.0071741690373332955
1380,0.007058981739477899
1395,0.006951651736745157
1410,0.0068506306591132925
1425,0.006758537201627897
1440,0.006671194806011575
1455,0.006590521817495903
1470,0.00651628987253472
1485,0.006445607441565121
1500,0.006381361171151104
